Symbol,Description,Price,Price - Currency,Price Change % 1 day,Performance % 1 week,Performance % 1 month,Performance % 3 months,Performance % 6 months,Performance % Year to date,Performance % 1 year,Performance % 5 years,Performance % 10 years,Performance % All Time,Volatility 1 week,Volatility 1 month
F,Ford Motor Company,11.28,USD,0.6244424620874086,4.706209969367861,-3.17596566523606,8.932882665379033,20.900321543408353,13.82441977800201,14.517766497461926,63.24167872648335,-24.091520861372814,540.798043520867,1.9494932403015046,2.272567851282225
MOS,Mosaic Company (The),31.68,USD,2.4248302618816684,-11.582472788166339,-15.968169761273217,-1.8587360594795583,19.773156899810964,27.793465106897944,15.283842794759822,81.44329896907216,-28.98453261600538,175.47826086956522,4.039984212461323,3.0601101559025414
BG,Bunge Limited,82.75,USD,2.198345066073856,4.746835443037975,10.01794854749717,8.254840397697544,18.876598189915242,5.414012738853503,-14.230928689883918,81.94810905892702,8.169934640522875,417.1875,3.1832444383920255,2.9741945311380795
BK,The Bank of New York Mellon Corporation,102.21,USD,-0.07820901358882833,0.17641870038223328,9.608579088471842,18.848837209302317,18.02540415704388,32.32780942516831,61.9296577946768,170.4683778777454,127.13333333333331,4694.3014373053975,1.795940156760342,1.8691570571943623
CVS,CVS Health Corporation,63.58,USD,0.09445843828714603,-2.946115096931776,-4.777594728171331,-6.127270042817075,16.574990832416574,40.94435823542452,9.62068965517241,-2.0338983050847568,-41.487207804159766,9390.657121276805,2.5484595493072546,2.9848884371392304
T,AT&T Inc.,28.06,USD,2.073481265914879,2.595978062157211,-0.6373937677053815,1.81422351233672,14.76482617586912,22.90845378887429,46.145833333333336,23.71578054191723,8.386565766993696,623.9327259895514,1.9552394963180522,2.10996249931074
DHI,"D.R. Horton, Inc.",153.89,USD,-0.11034661820071136,8.894707047834697,17.986659510848718,24.19498022758453,14.060183812629708,8.863893604980172,-12.497867743219434,124.98538011695902,434.7116052814454,9214.36605839924,2.714849329189244,3.347167762432987
GM,General Motors Company,52.95,USD,0.8955792682926943,0.722845729503524,1.5145705521472514,11.33305298570227,11.029565946739368,-0.6939234808702127,28.42590346834831,96.76700111482722,65.72769953051645,51.28571428571429,1.879978577657767,2.648144521297406
EXC,Exelon Corporation,45.54,USD,1.0652463382157054,3.6177474402730287,6.277712952158687,0.8637873754152837,11.019015114578243,20.12661566868901,21.246006389776348,64.0081842748996,96.80982254746503,325.76524852433636,2.0227217587182724,1.8286115522876476
C,"Citigroup, Inc.",91.23,USD,-1.0842459069717012,-4.441185712789353,4.13194840771602,26.637978900610765,10.675724857454806,28.601635184663106,56.83341928829293,74.46930579460701,56.59114315139033,433.6287291716337,2.585222122881727,2.3101952001196358
PHM,"PulteGroup, Inc.",120.67,USD,0.3659652333028343,7.875916323976401,11.886879925822909,16.398186553487026,10.453089244851261,9.520784171355958,-3.7872747568170944,171.29046762589928,507.6032225579053,74637.23979462279,2.4465680826647715,3.0796992601417017
ED,"Consolidated Edison, Inc.",105,USD,0.8161305808929373,3.265145554681346,6.447688564476886,-2.957486136783736,10.39848596362107,17.017719826145097,3.9603960396039604,38.26705293652884,60.89488201041985,1192.3076923076924,1.6180861628927254,1.65463967406771
STT,State Street Corporation,109.82,USD,-0.8486818345973384,-2.4169184290030326,-0.16363636363636982,16.310103791569574,9.83098309830983,11.912768776113317,39.80903882877148,57.51577739529546,38.504224996847,33874.54538704748,1.5923689650102055,1.979756704069957
CINF,Cincinnati Financial Corporation,151.47,USD,-1.6747809152872524,1.6577181208053684,3.775006851192101,3.2093213409648462,9.697276940903814,5.260597637248084,19.173878835562554,83.95676463444255,171.30574959699086,8159.4605912982015,2.0869533799454465,2.2328588398344493
NTRS,Northern Trust Corporation,124.73,USD,-0.7479907694756088,-4.764449874016947,-3.02441299953351,24.282582702271824,9.57568303610648,20.512077294685994,47.784360189573455,49.91586538461538,59.37899309992333,12160.211764613372,2.0166883472211414,2.274973882219203
FE,FirstEnergy Corp.,43.44,USD,0,3.6383156387927915,9.406875708349073,2.043692741367154,9.475806451612897,8.464419475655433,3.824091778202663,46.75675675675674,26.573426573426566,67.07692307692307,1.5186824383741364,1.5475156755829533
L,Loews Corporation,93.23,USD,-0.903486394557817,3.7387337264938236,2.4280377938914612,5.714933665948528,7.506918819188197,9.579219558063006,21.266909469302824,145.60063224446785,144.37745740498036,47128.258942366636,1.7078363932815668,1.5753178754553119
VZ,Verizon Communications Inc.,42.95,USD,1.4167650531286928,1.5726617003665753,0.3504672897196395,-1.309742647058824,7.482482482482488,7.294529103172625,6.417244796828552,-26.768968456947988,-7.674118658641444,431.16320289308953,1.4750452922207522,1.6048681992968368
PNW,Pinnacle West Capital Corporation,93.78,USD,1.3180639585133955,5.679513184584186,4.8524150268336355,1.7688551275094904,6.883975381809901,9.709873654656057,9.453781512605035,13.521365452124442,49.56937799043062,303.35483870967744,1.8320025678142025,1.862556972509243
TXT,Textron Inc.,77.38,USD,-0.11617400283981336,-0.42465577145798267,-4.9852652259332055,6.53999724631695,2.408681842244565,0.5588044184535317,-9.4441193680515,105.36093418259023,79.86982798698277,1059.7939110070258,1.734153304595547,2.377740746970293
APTV,Aptiv PLC,65.8,USD,1.0442260442260327,-3.561483218525585,-9.403827619441,6.610499027867787,1.2307692307692264,8.455579363771214,-7.54531403681327,-22.258979206049155,1.0928894165316396,269.6907520004315,2.6105551692521924,2.7843930271367787
DIS,Walt Disney Company (The),112.88,USD,-1.9883650256143148,-5.504164748231553,-8.387777462159647,7.244311434136145,1.1378908699937247,1.0564010743061707,28.272727272727266,-13.001926782273607,2.618181818181814,39738.50019763962,2.606930483853918,1.646344178991067
CVX,Chevron Corporation,153.16,USD,0.2487236549286526,0.7631578947368398,3.9641596524572384,10.266378689704817,0.4459601259181577,5.282694621068914,5.9344307649743975,74.16420286559018,81.9002375296912,3789.777777777778,1.9905309240570057,2.151676685024806
COF,Capital One Financial Corporation,207.29,USD,-2.6258925216084195,-3.2846545047356974,-6.161158895427802,9.191951116729872,0.1691311491253476,15.161111111111106,52.75607958732498,213.60060514372165,154.43721615318523,3786.7263672636723,2.482960114870728,2.352349745005724
SYF,Synchrony Financial,68.45,USD,-1.4398848092152627,-2.478985610485817,-3.141361256544501,22.912551625067348,0.04384682841274647,4.312709539774456,51.20388778440468,188.4534344711336,100.96887844979447,197.6086956521739,2.317423516117696,2.49986876104236
